{'ip': '58.246.103.207', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.211.157', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.102.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.115.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.34.23', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.142.115', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.47.242', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.32.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.67.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.201.43', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.217.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.146.106', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.231.182', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.202.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.209.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.186.162', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.72.50', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.71.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.103.153', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.166.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.136.188', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.154.72', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.33.52', 'other': 'NOERROR', 'type': '2'}
{'ip': '58.246.224.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.121.26', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.235.6', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '112.65.52.15', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.179.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.213.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.161.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.153.238', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.192.12', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.131.27', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.113.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.52.183', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.128.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.40.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.143.85', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.210.9', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.118', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.145.98', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.7.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.66.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.18.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.27.38', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.156.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.130.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.40.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.240.8', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.171.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.26.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.144.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.144.54', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.65.241.231', 'other': 'NOERROR', 'type': '2'}
{'ip': '112.64.136.234', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.251.50', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '112.65.46.59', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.139.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.179.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.209.119', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.173.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.173.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.208.24', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.89.162', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.202.221', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.90.187', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.50.36', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.51.162', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.30.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.171.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.71.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.232.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.51.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.176.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.142.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.67.87', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '112.65.227.125', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.24.234', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.30.181', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.41.94', 'other': 'NXDOMAIN', 'type': '3'}
