{'ip': '114.240.12.81', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.143', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.210', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.143', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.105', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.194', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.34', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.26', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.216', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.206', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.48', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.50', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.229', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.76', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.58', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.83', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.183', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.212', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.148', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.7', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.219', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.239', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.168', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.63', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.7', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.57', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.248', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.47', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.59', 'other': 'SERVFAIL', 'type': '3'}
