{'ip': '220.248.158.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.251.3', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.88.54', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.192.12', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.37.48', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.4.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.186.133', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.60.153', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.188.219', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.7.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.158.234', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.180.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.76.43', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.79.86', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.103.76', 'other': 'NOERROR', 'type': '4'}
{'ip': '220.249.194.129', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.115.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.50.10', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.10.79', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.183.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.64.190', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.116.227', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.249.251.5', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.10.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.26.68', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.4.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.13.179', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.45.35', 'other': 'NXDOMAIN', 'type': '3'}
